Player,Country,Batting_Style,Bowling_Style
Kabir Ali,England,Right-hand bat,Right-arm fast-medium
Kabir Khan,Pakistan,Right-hand bat,Left-arm fast-medium
Kagiso Rabada,South Africa,Left-hand bat,Right-arm fast
Kalpesh Patel,Kenya,Right-hand bat,Right-arm medium
Kamran Akmal,Pakistan,Right-hand bat,
Kamran Hussain,Pakistan,Right-hand bat,Left-arm medium
Kane Richardson,Australia,Right-hand bat,Right-arm medium-fast
Kane Williamson,New Zealand,Right-hand bat,Off-break
Kanwar Rai Singh,India,Right-hand bat,
Kapil Dev,India,Right-hand bat,Right-arm fast-medium
Kapila Wijegunawardene,Sri Lanka,Right-hand bat,Right-arm fast-medium
Karate Krishnachandran,India,Right-hand bat,Right-arm medium
Karim Sadiq,Afghanistan,Right-hand bat,Off-break
Karl Nunes,Jamaica,Left-hand bat,
Karl Whatham,Australia,,
Karn Sharma,India,Left-hand bat,Leg-break googly
Karsan Ghavri,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Karun Jethi,India,Right-hand bat,Off-break
Karun Nair,India,Right-hand bat,Off-break
Kashif Raza,Pakistan,Right-hand bat,Right-arm medium
Kaushal Lokuarachchi,Sri Lanka,Right-hand bat,Leg-break
Kaushal Silva,Sri Lanka,Right-hand bat,
Kaushalya Weeraratne,Sri Lanka,Left-hand bat,Right-arm medium-fast
Kaushik Amalean,Sri Lanka,Right-hand bat,Right-arm fast-medium
KC Ibrahim,India,Right-hand bat,
KC Karan,Nepal,Right-hand bat,Right-arm fast-medium
Kedar Jadhav,India,Right-hand bat,Off-break
Keegan Meth,Zimbabwe,Right-hand bat,Right-arm medium
Keerthi Ranasinghe,Sri Lanka,Left-hand bat,Right-arm medium
Keith Andrew,England,Right-hand bat,Leg-break
Keith Arthurton,St Kitts and Nevis,Left-hand bat,Slow left-arm
Keith Boyce,Barbados,Right-hand bat,Right-arm fast-medium
Keith Dabengwa,Zimbabwe,Left-hand bat,Slow left-arm
Keith Fletcher,England,Right-hand bat,Leg-break
Keith Miller,Australia,Right-hand bat,Right-arm fast
Keith Rigg,Australia,Right-hand bat,
Keith Semple,Guyana,Right-hand bat,Right-arm medium
Keith Slater,Australia,Right-hand bat,"Right-arm fast-medium, Off-break"
Keith Stackpole,Australia,Right-hand bat,Leg-break
Keith Thomson,New Zealand,Right-hand bat,Right-arm medium
Keki Tarapore,India,Right-hand bat,Slow left-arm
Kelly Seymour,South Africa,Right-hand bat,Off-break
Kemar Roach,Barbados,Right-hand bat,Right-arm fast
Ken Archer,Australia,Right-hand bat,Off-break
Ken Barrington,England,Right-hand bat,Leg-break
Ken Cranston,England,Right-hand bat,Right-arm medium
Ken Eastwood,Australia,Left-hand bat,Chinaman
Ken Farnes,England,Right-hand bat,Right-arm fast
Ken Funston,South Africa,Right-hand bat,
Ken Higgs,England,Left-hand bat,"Right-arm fast-medium, Right-arm medium"
Ken Hough,Australia,Right-hand bat,Right-arm medium-fast
Ken James,New Zealand,Right-hand bat,
Ken Mackay,Australia,Left-hand bat,Right-arm medium
Ken MacLeay,England,Right-hand bat,Right-arm medium
Ken Meuleman,Australia,Right-hand bat,Leg-break
Ken Palmer,England,Right-hand bat,Right-arm fast-medium
Ken Rutherford,New Zealand,Right-hand bat,Right-arm medium
Ken Shuttleworth,England,Right-hand bat,Right-arm fast
Ken Taylor,England,Right-hand bat,"Right-arm medium, Leg-break"
Ken Viljoen,South Africa,Right-hand bat,Right-arm
Ken Wadsworth,New Zealand,Right-hand bat,Right-arm slow-medium
Ken Wishart,England,Left-hand bat,
Kenia Jayantilal,India,Right-hand bat,Off-break
Kennedy Otieno,Kenya,Right-hand bat,
Kenneth Hutchings,England,Right-hand bat,Right-arm fast
Kenneth Kamyuka,Uganda,Right-hand bat,Right-arm fast-medium
Kenneth Rickards,Jamaica,Right-hand bat,Leg-break
Kenneth Walter,South Africa,Right-hand bat,Right-arm fast
Kenneth Weekes,United States of America,Left-hand bat,Left-arm
Kenny Benjamin,Antigua and barbuda,Right-hand bat,Right-arm fast
Kenny Burn,Australia,Right-hand bat,Right-arm medium
Kenny Carroll,Ireland,Right-hand bat,Chinaman
Kepler Wessels,South Africa,Left-hand bat,"Right-arm medium, Off-break"
Kerry Jeremy,Antigua and barbuda,Right-hand bat,Right-arm fast-medium
Kerry O'Keeffe,Australia,Right-hand bat,Leg-break googly
Kerry Walmsley,New Zealand,Right-hand bat,Right-arm fast-medium
Kevin Arnott,Zimbabwe,Right-hand bat,
Kevin Curran,Zimbabwe,Right-hand bat,Right-arm fast-medium
Kevin Duers,Zambia,Right-hand bat,Right-arm medium-fast
Kevin Hurdle,Bermuda,Right-hand bat,Right-arm fast
Kevin O'Brien,Ireland,Right-hand bat,Right-arm medium-fast
Kevin Sandher,Canada,Right-hand bat,Slow left-arm
Kevin Wright,Australia,Right-hand bat,
Kevon Cooper,Trinidad and Tobago,Right-hand bat,Right-arm medium
Khaled Mahmud,Bangladesh,Right-hand bat,Right-arm medium
Khaled Mashud,Bangladesh,Right-hand bat,
Khalid Hasan,India,Right-hand bat,Leg-break googly
Khalid Khan,Pakistan,Right-hand bat,Right-arm medium-fast
Khalid Latif,Pakistan,Right-hand bat,Off-break
Khalid Wazir,India,Right-hand bat,Right-arm fast-medium
Khaliq Dad,Afghanistan,Right-hand bat,Right-arm fast-medium
Khan Mohammad,India,Right-hand bat,Right-arm fast-medium
Khanderao Rangnekar,India,Left-hand bat,Right-arm medium
Khershed Meherhomji,India,Right-hand bat,
Khokhan Sen,India,Right-hand bat,
Khurram Chauhan,Pakistan,Right-hand bat,Right-arm fast-medium
Khurram Khan,Pakistan,Left-hand bat,Slow left-arm
Khurram Manzoor,Pakistan,Right-hand bat,Off-break
Kieran Noema-Barnett,New Zealand,Left-hand bat,Right-arm medium
Kieran Powell,St Kitts and Nevis,Left-hand bat,Right-arm medium
Kieron Pollard,Trinidad and Tobago,Right-hand bat,Right-arm medium
Kim Barnett,England,Right-hand bat,"Right-arm medium, Leg-break"
Kim Elgie,South Africa,Right-hand bat,Slow left-arm
Kim Hughes,Australia,Right-hand bat,Right-arm medium
Kiran More,India,Right-hand bat,
Kirk Edwards,Barbados,Right-hand bat,Off-break
Kirti Azad,India,Right-hand bat,Off-break
Kithuruwan Vithanage,Sri Lanka,Left-hand bat,Leg-break
Klaas-Jan van Noortwijk,Netherlands,Right-hand bat,Right-arm medium
Kosala Kulasekara,Sri Lanka,Right-hand bat,Right-arm fast-medium
Kosala Kuruppuarachchi,Sri Lanka,Right-hand bat,Left-arm fast-medium
Kraigg Brathwaite,Barbados,Right-hand bat,Off-break
Kripal Singh,India,Right-hand bat,Off-break
Krishmar Santokie,Jamaica,Left-hand bat,Left-arm medium
Krishnamachari Srikkanth,India,Right-hand bat,Right-arm medium
Kruger van Wyk,South Africa,Right-hand bat,
KS Duleepsinhji,India,Right-hand bat,Leg-break
KS Indrajitsinhji,India,Right-hand bat,
KS Ranjitsinhji,India,Right-hand bat,Right-arm slow
Kuldeep Yadav,India,Left-hand bat,Chinaman
Kumar Dharmasena,Sri Lanka,Right-hand bat,"Right-arm medium, Off-break"
Kumar Sangakkara,Sri Lanka,Left-hand bat,Off-break
Kusal Perera,Sri Lanka,Left-hand bat,
Kwame Tucker,Bermuda,Right-hand bat,
Kyle Abbott,South Africa,Right-hand bat,Right-arm fast-medium
Kyle Coetzer,Scotland,Right-hand bat,Right-arm medium-fast
Kyle Hodsoll,Bermuda,Right-hand bat,Right-arm medium-fast
Kyle Jarvis,Zimbabwe,Right-hand bat,Right-arm fast-medium
Kyle McCallan,Ireland,Right-hand bat,Off-break
Kyle Mills,New Zealand,Right-hand bat,Right-arm medium
Ladha Ramji,India,Right-hand bat,Right-arm fast
Lahiru Thirimanne,Sri Lanka,Left-hand bat,Right-arm medium-fast
Lakshmipathy Balaji,India,Right-hand bat,Right-arm fast-medium
Lala Amarnath,India,Right-hand bat,Right-arm medium
Lalchand Rajput,India,Right-hand bat,"Right-arm medium, Off-break"
Lalith Kaluperuma,Sri Lanka,Right-hand bat,Off-break
Lalithamana Fernando,Sri Lanka,Right-hand bat,Right-arm medium
Lall Singh,Malaysia,Right-hand bat,Right-arm slow-medium
Lameck Onyango,Kenya,Right-hand bat,Right-arm medium
Lance Cairns,New Zealand,Right-hand bat,Right-arm medium-fast
Lance Gibbs,Guyana,Right-hand bat,Off-break
Lance Hamilton,New Zealand,Right-hand bat,Left-arm fast-medium
Lance Klusener,South Africa,Left-hand bat,Right-arm fast-medium
Lance Pierre,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Lanka de Silva,Sri Lanka,Right-hand bat,Off-break
Larry Gomes,Trinidad and Tobago,Left-hand bat,"Right-arm medium, Off-break"
Lasith Malinga,Sri Lanka,Right-hand bat,Right-arm fast
Laurie Fishlock,England,Left-hand bat,Slow left-arm
Laurie Mayne,Australia,Left-hand bat,Right-arm fast-medium
Laurie Nash,Australia,Right-hand bat,Right-arm fast
Laurie Williams,Jamaica,Right-hand bat,Right-arm medium
Lawrence Rowe,Jamaica,Right-hand bat,Left-arm fast-medium
Lawrie Miller,New Zealand,Left-hand bat,Left-arm slow-medium
Laxman Sivaramakrishnan,India,Right-hand bat,Leg-break googly
Laxmi Ratan Shukla,India,Right-hand bat,Right-arm medium
Learie Constantine,Trinidad and Tobago,Right-hand bat,"Right-arm fast, Right-arm medium"
Ledger Hill,England,Right-hand bat,"Right-arm fast-medium, Ru"
Lee Germon,New Zealand,Right-hand bat,Leg-break
Lee Irvine,South Africa,Left-hand bat,Right-arm medium
Leland Hone,Ireland,Right-hand bat,
Len Baichan,Guyana,Left-hand bat,Right-arm medium
Len Braund,England,Right-hand bat,Leg-break
Len Butterfield,New Zealand,Right-hand bat,Right-arm fast-medium
Len Coldwell,England,Right-hand bat,Right-arm fast-medium
Len Darling,Australia,Left-hand bat,Right-arm medium
Len Hopwood,England,Right-hand bat,Left-arm medium
Len Hutton,England,Right-hand bat,Leg-break
Len Johnson,Australia,Right-hand bat,Right-arm fast-medium
Len Maddocks,Australia,Right-hand bat,
Len Pascoe,Australia,Right-hand bat,Right-arm fast
Len Richmond,England,Right-hand bat,Leg-break googly
Len Tuckett,South Africa,Right-hand bat,Right-arm fast-medium
Len Wilkinson,England,Right-hand bat,Leg-break
Lendl Simmons,Trinidad and Tobago,Right-hand bat,Right-arm medium-fast
Lennie Louw,South Africa,Right-hand bat,"Left-arm fast-medium, Slow left-arm"
Lennox Brown,South Africa,Right-hand bat,"Right-arm fast-medium, Leg-break googly"
Lennox Cush,Guyana,Right-hand bat,Off-break
Leo O'Brien,Australia,Left-hand bat,Right-arm medium
Leon Garrick,Jamaica,Right-hand bat,Right-arm medium
Leon Johnson,Guyana,Left-hand bat,Leg-break
Leon Romero,United States of America,Right-hand bat,Right-arm medium
Leonard Moon,England,Right-hand bat,
Les Ames,England,Right-hand bat,Leg-break
Les Favell,Australia,Right-hand bat,Right-arm medium
Les Jackson,England,Right-hand bat,Right-arm fast
Les Joslin,Australia,Left-hand bat,Left-arm medium
Les Taylor,England,Right-hand bat,Right-arm fast-medium
Les Townsend,England,Right-hand bat,"Right-arm medium, Off-break"
Les Watt,New Zealand,Right-hand bat,
Lesley Stokkers,Netherlands,Right-hand bat,Off-break
Leslie Gay,England,Right-hand bat,
Leslie Hylton,Jamaica,Right-hand bat,Right-arm fast
Leslie Walcott,Barbados,Right-hand bat,Off-break
Leslie Wight,Guyana,Right-hand bat,
Lester King,Jamaica,Right-hand bat,Right-arm fast
Lewis Gregory,England,Right-hand bat,Right-arm medium
Liam Dawson,England,Right-hand bat,Slow left-arm
Liam Plunkett,England,Right-hand bat,Right-arm fast-medium
Liaqat Ali,Pakistan,Right-hand bat,Left-arm medium-fast
Lincoln Roberts,Trinidad and Tobago,Right-hand bat,Right-arm medium
Lindsay Hassett,Australia,Right-hand bat,Right-arm medium
Lindsay Kline,Australia,Left-hand bat,Chinaman
Lindsay Tuckett,South Africa,Right-hand bat,Right-arm medium-fast
Lindsay Weir,New Zealand,Right-hand bat,Right-arm medium
Lionel Baker,Montserrat,Left-hand bat,Right-arm fast-medium
Lionel Birkett,Barbados,Right-hand bat,Right-arm medium
Lionel Cann,Bermuda,Right-hand bat,Right-arm medium
Lionel Palairet,England,Right-hand bat,"Right-arm medium, Right-arm slow underarm"
Lionel Tapscott,South Africa,Right-hand bat,Right-arm
Lisle Nagel,Australia,Right-hand bat,Right-arm fast-medium
Liton Das,Bangladesh,Right-hand bat,
Llorne Howell,New Zealand,Right-hand bat,Right-arm medium
Lockie Ferguson,New Zealand,Right-hand bat,Right-arm fast
Logan van Beek,New Zealand,Right-hand bat,Right-arm fast-medium
Lonwabo Tsotsobe,South Africa,Right-hand bat,Left-arm fast-medium
Loots Bosman,South Africa,Right-hand bat,Right-arm medium
Lord Harris,Trinidad and Tobago,Right-hand bat,Right-arm fast roundarm
Lord Hawke,England,Right-hand bat,
Lord Tennyson,England,Right-hand bat,Right-arm fast
Lou Vincent,New Zealand,Right-hand bat,Right-arm medium
Louis Burger,Namibia,Right-hand bat,Right-arm medium
Louis Koen,South Africa,Right-hand bat,
Louis Promnitz,South Africa,Right-hand bat,"Off-break, Leg-break googly"
Louis Stricker,South Africa,Right-hand bat,Right-arm
Louis Tancred,South Africa,Right-hand bat,
LP Jai,India,Right-hand bat,
Lucas Oluoch,Kenya,Right-hand bat,Left-arm fast-medium
Luke Pomersbach,Australia,Left-hand bat,Right-arm medium
Luke Ronchi,New Zealand,Right-hand bat,
Luke Woodcock,New Zealand,Left-hand bat,Slow left-arm
Luke Wright,England,Right-hand bat,Right-arm medium
Luuk van Troost,Netherlands,Left-hand bat,Left-arm medium
Mac Anderson,New Zealand,Left-hand bat,Leg-break googly
Madan Lal,India,Right-hand bat,Right-arm medium
Madhav Apte,India,Right-hand bat,Right-arm
Madhusudan Rege,India,Right-hand bat,Off-break
Mafizur Rahman,Bangladesh,Right-hand bat,Right-arm fast-medium
Mahbubul Alam,Bangladesh,Right-hand bat,Right-arm medium-fast
Mahbubur Rahman,Pakistan,Right-hand bat,
Mahela Jayawardene,Sri Lanka,Right-hand bat,Right-arm medium
Mahela Udawatte,Sri Lanka,Left-hand bat,Off-break
Mahendra Nagamootoo,Guyana,Left-hand bat,Leg-break googly
Mahendra Singh Dhoni,India,Right-hand bat,Right-arm medium
Mahes Goonatilleke,Sri Lanka,Right-hand bat,
Mahmood Hamid,Pakistan,Right-hand bat,Right-arm medium
Mahmood Hussain,India,Right-hand bat,Right-arm fast-medium
Mahmudullah,Bangladesh,Right-hand bat,Off-break
Maitland Hathorn,South Africa,Right-hand bat,
Majid Haq,Scotland,Left-hand bat,Off-break
Majid Khan,India,Right-hand bat,"Right-arm medium, Off-break"
Major Booth,England,Right-hand bat,Right-arm medium-fast
Makhaya Ntini,South Africa,Right-hand bat,Right-arm fast
Mal Loye,England,Right-hand bat,Off-break
Mal Matheson,New Zealand,Right-hand bat,Right-arm medium
Malachi Jones,Bermuda,Right-hand bat,Right-arm medium-fast
Malcolm Hilton,England,Right-hand bat,Slow left-arm
Malcolm Jarvis,Zimbabwe,Right-hand bat,Left-arm medium-fast
Malcolm Marshall,Barbados,Right-hand bat,Right-arm fast
Malcolm Waller,Zimbabwe,Right-hand bat,Off-break
Malhar Patel,India,Right-hand bat,
Malinda Warnapura,Sri Lanka,Left-hand bat,Off-break
Malinga Bandara,Sri Lanka,Right-hand bat,Leg-break googly
Man Sood,India,Right-hand bat,
Manan Vohra,India,Right-hand bat,Right-arm fast-medium
Mandy Yachad,South Africa,Right-hand bat,Leg-break
Mangesh Panchal,India,Right-hand bat,Leg-break
Maninder Singh,India,Right-hand bat,Slow left-arm
Manjula Guruge,Sri Lanka,Right-hand bat,Left-arm fast-medium
Manjula Munasinghe,Sri Lanka,Right-hand bat,Right-arm fast-medium
Manjural Islam,Bangladesh,Left-hand bat,Left-arm fast-medium
Manny Aulakh,India,Right-hand bat,Right-arm fast-medium
Manny Martindale,Barbados,Right-hand bat,Right-arm fast
Manohar Hardikar,India,Right-hand bat,"Right-arm medium, Off-break"
Manoj Cheruparambil,India,Right-hand bat,Right-arm medium
Manoj David,Sri Lanka,Right-hand bat,Off-break
Manoj Prabhakar,India,Right-hand bat,Right-arm medium
Manoj Tiwary,India,Right-hand bat,Leg-break googly
Manpreet Gony,India,Right-hand bat,Right-arm medium
Manprit Juneja,India,Right-hand bat,Off-break
Mansoor Akhtar,Pakistan,Right-hand bat,Right-arm medium
Mansoor Amjad,Pakistan,Right-hand bat,Leg-break googly
Mansoor Rana,Pakistan,Right-hand bat,Off-break
Mansur Ali Khan Pataudi,India,Right-hand bat,Right-arm medium
Mantu Banerjee,India,Right-hand bat,Right-arm medium
Manzoor Akhtar,Pakistan,Right-hand bat,Leg-break
Manzoor Elahi,Pakistan,Right-hand bat,Right-arm fast-medium
Maqsood Ahmed,India,Right-hand bat,Right-arm medium
Maqsood Rana,Pakistan,Right-hand bat,Right-arm fast-medium
Marc Petrie,Scotland,Left-hand bat,
Marcel Schewe,Netherlands,Right-hand bat,
Marchant de Lange,South Africa,Right-hand bat,Right-arm fast
Marcus North,Australia,Left-hand bat,Off-break
Marcus Trescothick,England,Left-hand bat,Right-arm medium
Margashayam Venkataramana,India,Right-hand bat,Off-break
Mark Alleyne,England,Right-hand bat,Right-arm medium
Mark Bailey,New Zealand,Right-hand bat,Right-arm medium
Mark Benson,England,Left-hand bat,Off-break
Mark Boucher,South Africa,Right-hand bat,Right-arm medium
Mark Burgess,New Zealand,Right-hand bat,Off-break
Mark Burmester,South Africa,Right-hand bat,Right-arm medium
Mark Butcher,England,Left-hand bat,Right-arm medium
Mark Chapman,Hong Kong,Left-hand bat,Slow left-arm
Mark Cosgrove,Australia,Left-hand bat,Right-arm medium
Mark Craig,New Zealand,Left-hand bat,Off-break
Mark Dekker,Zimbabwe,Left-hand bat,"Left-arm medium, Slow left-arm"
Mark Douglas,New Zealand,Left-hand bat,
Mark Ealham,England,Right-hand bat,Right-arm medium-fast
Mark Gillespie,New Zealand,Right-hand bat,Right-arm fast-medium
Mark Greatbatch,New Zealand,Left-hand bat,Right-arm medium
Mark Haslam,England,Left-hand bat,Slow left-arm
Mark Ilott,England,Right-hand bat,Left-arm medium-fast
Mark Johnson,Jamaica,Left-hand bat,
Mark Jonkman,Netherlands,Right-hand bat,Right-arm medium-fast
Mark Lathwell,England,Right-hand bat,Right-arm medium
Mark Priest,New Zealand,Left-hand bat,Slow left-arm
Mark Ramprakash,England,Right-hand bat,Off-break
Mark Richardson,New Zealand,Left-hand bat,Slow left-arm
Mark Rushmere,South Africa,Right-hand bat,Right-arm medium
Mark Taylor,Australia,Left-hand bat,Right-arm medium
Mark Vermeulen,Zimbabwe,Right-hand bat,Off-break
Mark Waugh,Australia,Right-hand bat,"Right-arm medium, Off-break"
Mark Wood,England,Right-hand bat,Right-arm fast
Marlon Black,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Marlon Samuels,Jamaica,Right-hand bat,Off-break
Marlon Vonhagt,Sri Lanka,Right-hand bat,Right-arm medium
Marshall Ayub,Bangladesh,Right-hand bat,Leg-break
Martin Bicknell,England,Right-hand bat,Right-arm fast-medium
Martin Crowe,New Zealand,Right-hand bat,Right-arm medium
Martin Donnelly,New Zealand,Left-hand bat,Slow left-arm
Martin Guptill,New Zealand,Right-hand bat,Off-break
Martin Hanley,South Africa,Right-hand bat,Off-break
Martin Horton,England,Right-hand bat,Off-break
Martin Kent,Australia,Right-hand bat,
Martin Love,Australia,Right-hand bat,Off-break
Martin McCague,Ireland,Right-hand bat,Right-arm fast
Martin Saggers,England,Right-hand bat,Right-arm fast-medium
Martin Snedden,New Zealand,Left-hand bat,Right-arm medium-fast
Martin Stead,Canada,Right-hand bat,Right-arm medium
Martin Suji,Kenya,Right-hand bat,Right-arm medium-fast
Martin van Jaarsveld,South Africa,Right-hand bat,Off-break
Martyn Moxon,England,Right-hand bat,Right-arm medium
Marvan Atapattu,Sri Lanka,Right-hand bat,Leg-break
Mashrafe Mortaza,Bangladesh,Right-hand bat,Right-arm fast-medium
Masood Anwar,Pakistan,Left-hand bat,Slow left-arm
Masood Iqbal,Pakistan,Right-hand bat,
Mathew Sinclair,Australia,Right-hand bat,Right-arm medium
Matt Henderson,New Zealand,Left-hand bat,Left-arm fast-medium
Matt Henry,New Zealand,Right-hand bat,Right-arm fast-medium
Matt Horne,New Zealand,Right-hand bat,Right-arm medium
Matt Machan,England,Left-hand bat,Off-break
Matt Nicholson,Australia,Right-hand bat,Right-arm fast-medium
Matt Poore,New Zealand,Right-hand bat,Off-break
Matt Prior,South Africa,Right-hand bat,
Matthew Bell,New Zealand,Right-hand bat,Off-break
Matthew Cross,Scotland,Right-hand bat,
Matthew Elliott,Australia,Left-hand bat,Left-arm medium
Matthew Fleming,England,Right-hand bat,Right-arm medium
Matthew Hart,New Zealand,Left-hand bat,Slow left-arm
Matthew Hayden,Australia,Left-hand bat,Right-arm medium
Matthew Hoggard,England,Right-hand bat,Right-arm fast-medium
Matthew Maynard,England,Right-hand bat,Right-arm medium
Matthew Parker,Scotland,Left-hand bat,Right-arm medium-fast
Matthew Wade,Australia,Left-hand bat,Right-arm medium
Matthew Walker,New Zealand,Right-hand bat,Right-arm medium
Maurice Allom,England,Right-hand bat,Right-arm medium-fast
Maurice Fernandes,Guyana,Right-hand bat,
Maurice Foster,Jamaica,Right-hand bat,Off-break
Maurice Leyland,England,Left-hand bat,Slow left-arm
Maurice Odumbe,Kenya,Right-hand bat,Off-break
Maurice Read,England,Right-hand bat,Right-arm fast-medium
Maurice Tate,England,Right-hand bat,"Off-break, Right-arm fast-medium, Right-arm medium"
Maurice Tremlett,England,Right-hand bat,Right-arm fast-medium
Maurice Turnbull,Wales,Right-hand bat,Off-break
Maurits Jonkman,Netherlands,Right-hand bat,Right-arm medium
Maurits van Nierop,South Africa,Right-hand bat,Right-arm medium
Max Sorensen,South Africa,Right-hand bat,Right-arm fast-medium
Max Walker,Australia,Right-hand bat,Right-arm fast-medium
Max Waller,England,Right-hand bat,Leg-break
Mazhar Hussain,Pakistan,Right-hand bat,Leg-break
Mazharul Haque,Bangladesh,Right-hand bat,Off-break
Mehmood Quaraishy,Kenya,,
Melt van Schoor,South Africa,Right-hand bat,
Merv Harvey,Australia,Right-hand bat,
Merv Hughes,Australia,Right-hand bat,Right-arm fast
Merv Wallace,New Zealand,Right-hand bat,Off-break
Mervyn Dillon,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Mervyn Grell,Trinidad and Tobago,Right-hand bat,Right-arm medium
Mervyn Waite,Australia,Right-hand bat,"Right-arm medium, Off-break"
Mevan Pieris,Sri Lanka,Left-hand bat,Right-arm fast-medium
Meyrick Pringle,South Africa,Right-hand bat,Right-arm fast-medium
Mfuneko Ngam,South Africa,Right-hand bat,Right-arm fast
Michael Atherton,England,Right-hand bat,Leg-break
Michael Bates,New Zealand,Right-hand bat,Left-arm medium
Michael Beer,Australia,Right-hand bat,Slow left-arm
Michael Bevan,Australia,Left-hand bat,Chinaman
Michael Bracewell,New Zealand,Left-hand bat,
Michael Carberry,England,Left-hand bat,Off-break
Michael Chinouya,Zimbabwe,Right-hand bat,Right-arm fast-medium
Michael Clarke,Australia,Right-hand bat,Slow left-arm
Michael Di Venuto,Australia,Left-hand bat,"Right-arm medium, Leg-break googly"
Michael Frederick,Barbados,Right-hand bat,Right-arm medium
Michael Holding,Jamaica,Right-hand bat,Right-arm fast
Michael Hussey,Australia,Left-hand bat,Right-arm medium
Michael Kasprowicz,Australia,Right-hand bat,Right-arm fast-medium
Michael Klinger,Australia,Right-hand bat,Right-arm medium
Michael Leask,Scotland,Right-hand bat,Off-break
Michael Lumb,South Africa,Left-hand bat,Right-arm medium
Michael Mason,New Zealand,Right-hand bat,Right-arm fast-medium
Michael Owens,New Zealand,Right-hand bat,Right-arm fast-medium
Michael Papps,New Zealand,Right-hand bat,
Michael Rippon,South Africa,Right-hand bat,Chinaman
Michael Slater,Australia,Right-hand bat,Right-arm medium
Michael Smith,England,Right-hand bat,Slow left-arm
Michael Swart,Australia,Right-hand bat,Off-break
Michael Tissera,Sri Lanka,Right-hand bat,Leg-break
Michael Vandort,Sri Lanka,Left-hand bat,Right-arm medium
Michael Vaughan,England,Right-hand bat,Off-break
Michael Yardy,England,Left-hand bat,"Slow left-arm, Left-arm medium"
Mick Commaille,South Africa,Right-hand bat,
Mick Lewis,Australia,Right-hand bat,Right-arm fast-medium
Mick Malone,Australia,Right-hand bat,Right-arm fast-medium
Mick Melle,South Africa,Right-hand bat,Right-arm fast
Micky Stewart,England,Right-hand bat,Right-arm medium
Miguel Cummins,Barbados,Left-hand bat,Right-arm fast
Mike Allingham,Scotland,Right-hand bat,Right-arm medium
Mike Brearley,England,Right-hand bat,Right-arm medium
Mike Denness,Scotland,Right-hand bat,"Right-arm medium, Off-break"
Mike Findlay,St Vincent and the Grenadines,Right-hand bat,
Mike Gatting,England,Right-hand bat,Right-arm medium
Mike Hendrick,England,Right-hand bat,Right-arm fast-medium
Mike Macaulay,South Africa,Right-hand bat,"Left-arm medium, Slow left-arm"
Mike Procter,South Africa,Right-hand bat,"Right-arm fast, Off-break"
Mike Rindel,South Africa,Left-hand bat,"Left-arm medium-fast, Slow left-arm"
Mike Selvey,England,Right-hand bat,Right-arm fast-medium
Mike Shrimpton,New Zealand,Right-hand bat,Leg-break
Mike Smith,England,Right-hand bat,Right-arm slow-medium
Mike Veletta,Australia,Right-hand bat,
Mike Watkinson,England,Right-hand bat,"Right-arm medium, Off-break"
Mike Whitney,Australia,Right-hand bat,Left-arm fast-medium
Miles Bascombe,St Vincent and the Grenadines,Right-hand bat,
Milinda Siriwardene,Sri Lanka,Left-hand bat,Slow left-arm
Milkha Singh,India,Left-hand bat,Right-arm medium
Milton Pydanna,Guyana,Right-hand bat,
Milton Small,Barbados,Right-hand bat,Right-arm fast-medium
Min Patel,India,Right-hand bat,Slow left-arm
Minhajul Abedin,Pakistan,Right-hand bat,Off-break
Miran Bakhsh,India,Right-hand bat,Off-break
Mirwais Ashraf,Afghanistan,Right-hand bat,Right-arm fast-medium
Misbah-ul-Haq,Pakistan,Right-hand bat,Leg-break
Mitchell Johnson,Australia,Left-hand bat,Left-arm fast
Mitchell Marsh,Australia,Right-hand bat,Right-arm medium
Mitchell McClenaghan,New Zealand,Left-hand bat,Left-arm medium-fast
Mitchell Starc,Australia,Left-hand bat,Left-arm fast-medium
Mithra Wettimuny,Sri Lanka,Right-hand bat,
Mithun Ali,Bangladesh,Right-hand bat,
Mluleki Nkala,Zimbabwe,Right-hand bat,Right-arm fast-medium
Moeen Ali,England,Left-hand bat,Off-break
Mohammad Aamer,Pakistan,Left-hand bat,Left-arm fast-medium
Mohammad Akram,Pakistan,Right-hand bat,Right-arm fast-medium
Mohammad Ashraful,Bangladesh,Right-hand bat,"Leg-break, Off-break"
Mohammad Asif,Pakistan,Left-hand bat,Right-arm fast-medium
Mohammad Aslam,Pakistan,Right-hand bat,Right-arm fast-medium
Mohammad Ayub,Pakistan,Right-hand bat,Off-break
Mohammad Azharuddin,India,Right-hand bat,Right-arm medium
Mohammad Farooq,India,Right-hand bat,Right-arm fast-medium
Mohammad Hafeez,Pakistan,Right-hand bat,Off-break
Mohammad Hussain,Pakistan,Left-hand bat,Slow left-arm
Mohammad Ilyas,India,Right-hand bat,Leg-break
Mohammad Iqbal,Pakistan,Right-hand bat,Right-arm slow
Mohammad Irfan,Pakistan,Right-hand bat,Left-arm medium-fast
Mohammad Ishaq,Pakistan,Right-hand bat,Right-arm medium
Mohammad Kaif,India,Right-hand bat,Off-break
Mohammad Kashif,Pakistan,Right-hand bat,Slow left-arm
