Player,Country,Batting_Style,Bowling_Style
Andrew Zesers,Australia,Right-hand bat,Right-arm medium-fast
Andy Bichel,Australia,Right-hand bat,Right-arm fast-medium
Andy Blignaut,Zimbabwe,Left-hand bat,Right-arm medium-fast
Andy Caddick,New Zealand,Right-hand bat,Right-arm fast-medium
Andy Cummins,Barbados,Right-hand bat,Right-arm fast-medium
Andy DG Roberts,New Zealand,Right-hand bat,Right-arm medium
Andy Ducat,England,Right-hand bat,Right-arm slow
Andy Flower,South Africa,Left-hand bat,Off-break
Andy Ganteaume,Trinidad and Tobago,Right-hand bat,
Andy Lloyd,England,Left-hand bat,Right-arm medium
Andy McBrine,Ireland,Left-hand bat,Off-break
Andy McKay,New Zealand,Right-hand bat,Left-arm fast-medium
Andy Pycroft,Zimbabwe,Right-hand bat,Off-break
Andy Roberts,Antigua and barbuda,Right-hand bat,Right-arm fast
Andy Sandham,England,Right-hand bat,
Andy Waller,Zimbabwe,Right-hand bat,Right-arm medium
Angelo Mathews,Sri Lanka,Right-hand bat,Right-arm fast-medium
Angelo Perera,Sri Lanka,Right-hand bat,Slow left-arm
Angus Fraser,England,Right-hand bat,Right-arm fast-medium
Angus Mackay,Zimbabwe,Right-hand bat,Right-arm fast-medium
Anil Dalpat,Pakistan,Right-hand bat,
Anil Kumble,India,Right-hand bat,Leg-break googly
Anisur Rahman,Pakistan,,
Ankur Sharma,India,Right-hand bat,Leg-break
Anshuman Gaekwad,India,Right-hand bat,Off-break
Antao D'Souza,India,Right-hand bat,"Right-arm medium, Off-break"
Anthony Ireland,Zimbabwe,Right-hand bat,Right-arm medium
Anthony Martin,Antigua and barbuda,Right-hand bat,Leg-break
Anthony McGrath,England,Right-hand bat,Right-arm medium
Anthony Stuart,Australia,Right-hand bat,Right-arm fast-medium
Anton Devcich,New Zealand,Left-hand bat,Slow left-arm
Anton Murray,South Africa,Right-hand bat,Right-arm slow-medium
Anura Ranasinghe,Sri Lanka,Right-hand bat,"Left-arm medium, Slow left-arm"
Anura Tennekoon,Sri Lanka,Right-hand bat,Slow left-arm
Anwar Ali,Pakistan,Right-hand bat,Right-arm medium-fast
Anwar Hossain,Bangladesh,Right-hand bat,Right-arm fast-medium
Anwar Hussain,India,Right-hand bat,Right-arm fast-medium
Anwar Khan,Pakistan,Right-hand bat,Right-arm fast-medium
Arafat Sunny,Bangladesh,Left-hand bat,Slow left-arm
Aravinda de Silva,Sri Lanka,Right-hand bat,Off-break
Archibald Palm,South Africa,Right-hand bat,
Archie Jackson,Scotland,Right-hand bat,Off-break
Archie MacLaren,England,Right-hand bat,Right-arm fast
Archie Wiles,Barbados,Right-hand bat,
Arif Butt,India,Right-hand bat,Right-arm fast-medium
Arjuna Ranatunga,Sri Lanka,Left-hand bat,Right-arm medium
Arnie Sidebottom,England,Right-hand bat,Right-arm fast-medium
Arnold Fothergill,England,Left-hand bat,Left-arm medium-fast
Arnold Warren,England,Right-hand bat,Right-arm fast
Arsalan Qadir,Pakistan,Right-hand bat,Right-arm medium-fast
Arshad Ali,Pakistan,Right-hand bat,Right-arm medium
Arshad Ayub,India,Right-hand bat,Off-break
Arshad Khan,Pakistan,Right-hand bat,Off-break
Arshad Laeeq,Pakistan,Right-hand bat,Right-arm fast-medium
Arshad Pervez,Pakistan,Right-hand bat,Right-arm medium
Arthur Barrett,Jamaica,Right-hand bat,Leg-break googly
Arthur Carr,England,Right-hand bat,Right-arm medium
Arthur Chipperfield,Australia,Right-hand bat,Leg-break
Arthur Coningham,Australia,Left-hand bat,Left-arm fast-medium
Arthur Dolphin,England,Right-hand bat,
Arthur Fagg,England,Right-hand bat,Right-arm medium
Arthur Fielder,England,Right-hand bat,Right-arm fast
Arthur Gilligan,England,Right-hand bat,Right-arm fast-medium
Arthur Jones,England,Right-hand bat,Leg-break
Arthur Langton,South Africa,Right-hand bat,"Right-arm fast-medium, Right-arm medium"
Arthur Mailey,Australia,Right-hand bat,Leg-break googly
Arthur McIntyre,England,Right-hand bat,Leg-break
Arthur Milton,England,Right-hand bat,Right-arm medium
Arthur Mitchell,England,Right-hand bat,Right-arm slow
Arthur Mold,England,Right-hand bat,Right-arm fast
Arthur Morris,Australia,Left-hand bat,Chinaman
Arthur Ochse,South Africa,Right-hand bat,
Arthur Pitcher,Bermuda,Right-hand bat,Right-arm medium-fast
Arthur Richardson,Australia,Right-hand bat,"Right-arm medium, Off-break"
Arthur Seccull,South Africa,Right-hand bat,Right-arm medium
Arthur Shrewsbury,England,Right-hand bat,Right-arm
Arthur Wellard,England,Right-hand bat,"Right-arm fast-medium, Off-break"
Arthur Wood,England,Right-hand bat,
Artie Dick,New Zealand,Right-hand bat,
Arul Suppiah,Malaysia,Right-hand bat,Slow left-arm
Arun Lal,India,Right-hand bat,Right-arm medium
Aruna Gunawardene,Sri Lanka,Right-hand bat,Right-arm medium
Arvind Apte,India,Right-hand bat,Right-arm medium
Arvind Kandappah,Sri Lanka,Right-hand bat,
Asad Ali,Pakistan,Right-hand bat,Right-arm medium-fast
Asad Shafiq,Pakistan,Right-hand bat,Leg-break
Asanka Gurusinha,Sri Lanka,Left-hand bat,Right-arm medium
Asghar Ali,Pakistan,Right-hand bat,Off-break
Asghar Stanikzai,Pakistan,Right-hand bat,Right-arm medium-fast
Ashan Priyanjan,Sri Lanka,Right-hand bat,Right-arm medium-fast
Ashantha de Mel,Sri Lanka,Right-hand bat,Right-arm medium-fast
Ashfaq Ahmed,Pakistan,Right-hand bat,Right-arm fast-medium
Ashish Bagai,India,Right-hand bat,
Ashish Nehra,India,Right-hand bat,Left-arm medium-fast
Ashish Patel,Canada,Right-hand bat,Right-arm medium
Ashley de Silva,Sri Lanka,Right-hand bat,
Ashley Giles,England,Right-hand bat,Slow left-arm
Ashley Mallett,Australia,Right-hand bat,Off-break
Ashley Noffke,Australia,Right-hand bat,Right-arm fast-medium
Ashley Nurse,Barbados,Right-hand bat,Off-break
Ashley Woodcock,Australia,Right-hand bat,
Ashok Dinda,India,Right-hand bat,Right-arm medium-fast
Ashok Gandotra,Brazil,Left-hand bat,Slow left-arm
Ashok Malhotra,India,Right-hand bat,Right-arm medium
Ashok Mankad,India,Right-hand bat,Right-arm medium
Ashok Patel,India,Right-hand bat,Off-break
Ashraf Ali,Pakistan,Right-hand bat,
Ashton Agar,Australia,Left-hand bat,Slow left-arm
Ashwell Prince,South Africa,Left-hand bat,Off-break
Asif Iqbal,India,Right-hand bat,Right-arm medium
Asif Mahmood,Pakistan,Right-hand bat,Off-break
Asif Masood,India,Right-hand bat,Right-arm fast-medium
Asif Mujtaba,Pakistan,Left-hand bat,Slow left-arm
Asif Mulla,India,Right-hand bat,
Asim Butt,Pakistan,Right-hand bat,Left-arm medium-fast
Asim Kamal,Pakistan,Left-hand bat,Off-break
Asim Saeed,United Arab Emirates,Right-hand bat,Left-arm medium
Aslam Khokhar,India,Right-hand bat,Leg-break
Asoka de Silva,Sri Lanka,Left-hand bat,Leg-break googly
Assad Fudadin,Guyana,Left-hand bat,Right-arm medium-fast
Ata-ur-Rehman,Pakistan,Right-hand bat,Right-arm fast-medium
Athar Ali Khan,Pakistan,Right-hand bat,Right-arm medium
Athol Rowan,South Africa,Right-hand bat,Off-break
Atholl McKinnon,South Africa,Right-hand bat,Slow left-arm
Athula Samarasekera,Sri Lanka,Right-hand bat,Right-arm medium
Atif Rauf,Pakistan,Right-hand bat,Off-break
Atiq-uz-Zaman,Pakistan,Right-hand bat,Off-break
Atse Buurman,Netherlands,Right-hand bat,
Atul Bedade,India,Left-hand bat,Right-arm medium
Atul Wassan,India,Right-hand bat,Right-arm fast-medium
Aubrey Faulkner,South Africa,Right-hand bat,Leg-break googly
Aubrey Smith,England,Right-hand bat,Right-arm fast
Audley Miller,England,Right-hand bat,Right-arm medium-fast
Austin Codrington,Jamaica,Right-hand bat,Right-arm medium-fast
Austin Matthews,Wales,Right-hand bat,Right-arm fast-medium
Austin Richards,Antigua and barbuda,Left-hand bat,Right-arm medium
Avishka Gunawardene,Sri Lanka,Left-hand bat,
Awais Zia,Pakistan,Left-hand bat,Off-break
Azam Khan,Pakistan,Right-hand bat,
Azeem Hafeez,Pakistan,Left-hand bat,Left-arm fast-medium
Azeem Pitcher,Trinidad and Tobago,Left-hand bat,
Azeem Rafiq,Pakistan,Right-hand bat,Off-break
Azhar Ali,Pakistan,Right-hand bat,Leg-break
Azhar Hossain,Pakistan,Right-hand bat,Off-break
Azhar Khan,Pakistan,Right-hand bat,Off-break
Azhar Mahmood,Pakistan,Right-hand bat,Right-arm fast-medium
Azhar Saeed,Pakistan,Left-hand bat,Slow left-arm
Azmat Rana,Pakistan,Left-hand bat,Off-break
Babar Hayat,Pakistan,Right-hand bat,Right-arm medium
Babu Meman,Zambia,Right-hand bat,Off-break
Bal Dani,India,Right-hand bat,"Right-arm fast-medium, Leg-break, Off-break"
Balaji Rao,India,Left-hand bat,Leg-break googly
Baloo Gupte,India,Right-hand bat,Leg-break googly
Balwinder Sandhu,India,Right-hand bat,Right-arm medium-fast
Bandula Warnapura,Sri Lanka,Right-hand bat,Right-arm medium
Bapu Nadkarni,India,Left-hand bat,Slow left-arm
Baqa Jilani,India,Right-hand bat,Right-arm medium
Barlow Carkeek,Australia,Left-hand bat,
Barney Rogers,Zimbabwe,Left-hand bat,Off-break
Barrington Browne,Guyana,Right-hand bat,Right-arm fast
Barry Hadlee,New Zealand,Right-hand bat,
Barry Jarman,Australia,Right-hand bat,
Barry Knight,England,Right-hand bat,Right-arm fast-medium
Barry Milburn,New Zealand,Right-hand bat,
Barry Richards,South Africa,Right-hand bat,Off-break
Barry Seebaran,Canada,Right-hand bat,Slow left-arm
Barry Shepherd,Australia,Left-hand bat,Off-break
Barry Sinclair,New Zealand,Right-hand bat,Right-arm
Barry Wood,England,Right-hand bat,Right-arm medium
Barto Bartlett,Barbados,Right-hand bat,
Bas Zuiderent,Netherlands,Right-hand bat,Right-arm medium
Basanta Regmi,Nepal,Left-hand bat,Slow left-arm
Basil Butcher,Guyana,Right-hand bat,Leg-break
Basil D'Oliveira,South Africa,Right-hand bat,"Right-arm medium, Off-break"
Basil Grieve,England,Right-hand bat,
Basil Williams,Jamaica,Right-hand bat,
Basit Ali,Pakistan,Right-hand bat,Off-break
Bazid Khan,Pakistan,Right-hand bat,Off-break
Beau Casson,Australia,Right-hand bat,Chinaman
Ben Barnett,Australia,Left-hand bat,
Ben Cooper,Australia,Left-hand bat,Right-arm medium
Ben Cutting,Australia,Right-hand bat,Right-arm fast
Ben Hilfenhaus,Australia,Right-hand bat,Right-arm fast-medium
Ben Hollioake,Australia,Right-hand bat,Right-arm fast-medium
Ben Laughlin,Australia,Right-hand bat,Right-arm fast-medium
Ben Phillips,England,Right-hand bat,Right-arm fast-medium
Ben Rohrer,Australia,Left-hand bat,Right-arm medium
Ben Sealey,Trinidad and Tobago,Right-hand bat,Right-arm medium
Ben Stokes,New Zealand,Left-hand bat,Right-arm fast-medium
Berend Westdijk,Netherlands,Right-hand bat,Right-arm medium-fast
Berkeley Gaskin,Guyana,Right-hand bat,Right-arm medium
Bernard Bosanquet,England,Right-hand bat,"Right-arm fast, Leg-break googly"
Bernard Julien,Trinidad and Tobago,Right-hand bat,"Left-arm fast-medium, Chinaman, Slow left-arm"
Bernard Loots,South Africa,Right-hand bat,Right-arm medium
Bernard Tancred,South Africa,Right-hand bat,Right-arm medium
Bert Hopkins,Australia,Right-hand bat,Right-arm fast-medium
Bert Ironmonger,Australia,Left-hand bat,"Left-arm medium, Slow left-arm"
Bert Oldfield,Australia,Right-hand bat,
Bert Strudwick,England,Right-hand bat,
Bert Sutcliffe,New Zealand,Left-hand bat,Slow left-arm
Bertie Clarke,Barbados,Right-hand bat,Leg-break googly
Beuran Hendricks,South Africa,Left-hand bat,Left-arm fast-medium
Bevan Congdon,New Zealand,Right-hand bat,Right-arm medium
Bevan Griggs,New Zealand,Right-hand bat,
Bhagwat Chandrasekhar,India,Right-hand bat,Leg-break
Bharat Arun,India,Right-hand bat,Right-arm medium
Bharath Reddy,India,Right-hand bat,
Bhupinder Singh,India,Right-hand bat,Right-arm fast-medium
Bhuvneshwar Kumar,India,Right-hand bat,Right-arm fast-medium
Biddy Anderson,South Africa,Right-hand bat,
Bilawal Bhatti,Pakistan,Right-hand bat,Right-arm medium-fast
Bill Athey,England,Right-hand bat,Off-break
Bill Bell,New Zealand,Right-hand bat,Leg-break
Bill Bowes,England,Right-hand bat,"Right-arm fast-medium, Right-arm medium"
Bill Bradley,England,Right-hand bat,Right-arm fast
Bill Brockwell,England,Right-hand bat,Right-arm fast-medium
Bill Brown,Australia,Right-hand bat,Off-break
Bill Copson,England,Right-hand bat,Right-arm fast-medium
Bill Edrich,England,Right-hand bat,"Right-arm fast-medium, Off-break"
Bill Farrimond,England,Right-hand bat,
Bill Hitch,England,Right-hand bat,Right-arm fast
Bill Howell,Australia,Left-hand bat,Right-arm medium
Bill Hunt,Australia,Left-hand bat,Slow left-arm
Bill Johnston,Australia,Left-hand bat,"Left-arm fast-medium, Slow left-arm"
Bill Lawry,Australia,Left-hand bat,Left-arm medium
Bill Lockwood,England,Right-hand bat,Right-arm fast
Bill Lundie,South Africa,Right-hand bat,Right-arm fast
Bill Merritt,New Zealand,Right-hand bat,Leg-break googly
Bill O'Reilly,Australia,Left-hand bat,Leg-break googly
Bill Playle,New Zealand,Right-hand bat,Off-break
Bill Ponsford,Australia,Right-hand bat,Right-arm medium
Bill Storer,England,Right-hand bat,Leg-break
Bill Voce,England,Right-hand bat,Left-arm fast-medium
Bill Watson,Australia,Right-hand bat,
Bill Whitty,Australia,Right-hand bat,Left-arm fast-medium
Bill Woodfull,Australia,Right-hand bat,
Billy Barnes,England,Right-hand bat,Right-arm fast-medium
Billy Bates,England,Right-hand bat,Off-break
Billy Frank,South Africa,Right-hand bat,Right-arm medium
Billy Griffith,England,Right-hand bat,
Billy Gunn,England,Right-hand bat,"Right-arm slow, Right-arm slow underarm"
Billy Ibadulla,India,Right-hand bat,"Right-arm medium, Off-break"
Billy Midwinter,England,Right-hand bat,Right-arm medium roundarm
Billy Murdoch,Australia,Right-hand bat,
Billy Newham,England,Right-hand bat,
Billy Stelling,South Africa,Right-hand bat,Right-arm fast-medium
Billy Wade,South Africa,Right-hand bat,
Billy Zulch,South Africa,Right-hand bat,Right-arm medium
Binod Bhandari,Nepal,Right-hand bat,Right-arm
Bishan Singh Bedi,India,Right-hand bat,Slow left-arm
BJ Watling,South Africa,Right-hand bat,
