match_id,neutral_venue,toss_winner,toss_decision,eliminator
829775,0,Mumbai Indians,bat,N
829777,0,Delhi Daredevils,field,N
829779,0,Chennai Super Kings,bat,N
829781,0,Sunrisers Hyderabad,field,N
829783,0,Delhi Daredevils,bat,N
829785,0,Kings XI Punjab,field,N
829787,0,Rajasthan Royals,field,N
829789,0,Chennai Super Kings,bat,N
829791,0,Kings XI Punjab,bat,N
829793,0,Sunrisers Hyderabad,bat,N
829795,0,Royal Challengers Bangalore,bat,N
829797,0,Chennai Super Kings,bat,N
829799,0,Sunrisers Hyderabad,bat,N
829801,0,Chennai Super Kings,bat,N
829803,0,Royal Challengers Bangalore,field,N
829805,0,Kolkata Knight Riders,field,N
829807,0,Sunrisers Hyderabad,bat,N
829809,0,Kings XI Punjab,bat,N
829811,0,Rajasthan Royals,bat,N
829813,0,Royal Challengers Bangalore,field,NA
829815,0,Sunrisers Hyderabad,bat,N
829817,0,Mumbai Indians,bat,N
829819,0,Royal Challengers Bangalore,bat,N
829821,0,Chennai Super Kings,field,N
829823,0,Chennai Super Kings,field,N
980901,0,Mumbai Indians,bat,N
980903,0,Kolkata Knight Riders,field,N
980905,0,Gujarat Lions,field,N
980907,0,Sunrisers Hyderabad,field,N
980909,0,Mumbai Indians,field,N
980911,0,Rising Pune Supergiants,bat,N
980913,0,Delhi Daredevils,field,N
980915,0,Sunrisers Hyderabad,bat,N
980917,0,Gujarat Lions,field,N
980919,0,Rising Pune Supergiants,bat,N
980921,0,Delhi Daredevils,field,N
980923,0,Sunrisers Hyderabad,field,N
980925,0,Kolkata Knight Riders,field,N
980927,0,Mumbai Indians,field,N
980929,0,Sunrisers Hyderabad,field,N
980931,0,Rising Pune Supergiants,field,N
980933,0,Mumbai Indians,field,N
980935,0,Sunrisers Hyderabad,field,N
980937,0,Royal Challengers Bangalore,bat,N
980939,0,Kolkata Knight Riders,field,N
980941,0,Kings XI Punjab,field,N
980943,0,Rising Pune Supergiants,field,N
980945,0,Delhi Daredevils,field,N
980947,0,Mumbai Indians,field,N
980949,0,Gujarat Lions,field,N
980951,0,Kolkata Knight Riders,field,N
980953,0,Royal Challengers Bangalore,field,N
980955,0,Gujarat Lions,field,N
980957,0,Mumbai Indians,field,N
980959,0,Kolkata Knight Riders,field,N
980961,0,Delhi Daredevils,field,N
980963,0,Kings XI Punjab,field,N
980965,0,Rising Pune Supergiants,field,N
980967,0,Sunrisers Hyderabad,field,N
980969,0,Royal Challengers Bangalore,field,N
980971,0,Delhi Daredevils,field,N
980973,0,Mumbai Indians,field,N
980975,0,Gujarat Lions,field,N
980977,0,Kings XI Punjab,field,N
980979,0,Sunrisers Hyderabad,bat,N
980981,0,Mumbai Indians,field,N
980983,0,Delhi Daredevils,field,N
980985,0,Mumbai Indians,bat,N
980987,0,Gujarat Lions,field,N
980989,0,Rising Pune Supergiants,bat,N
980991,0,Kings XI Punjab,bat,N
980993,0,Delhi Daredevils,field,N
980995,0,Royal Challengers Bangalore,field,N
980997,0,Rising Pune Supergiants,field,N
980999,0,Kings XI Punjab,field,N
981001,0,Gujarat Lions,field,N
981003,0,Delhi Daredevils,field,N
981005,0,Kings XI Punjab,bat,N
981007,0,Gujarat Lions,field,N
981009,0,Sunrisers Hyderabad,field,N
981011,0,Royal Challengers Bangalore,field,N
981013,0,Royal Challengers Bangalore,field,N
981015,0,Kolkata Knight Riders,field,N
981017,0,Sunrisers Hyderabad,field,N
981019,0,Sunrisers Hyderabad,bat,N
1082591,0,Royal Challengers Bangalore,field,N
1082592,0,Rising Pune Supergiant,field,N
1082593,0,Kolkata Knight Riders,field,N
1082594,0,Kings XI Punjab,field,N
1082595,0,Royal Challengers Bangalore,bat,N
1082596,0,Sunrisers Hyderabad,field,N
1082597,0,Mumbai Indians,field,N
1082598,0,Royal Challengers Bangalore,bat,N
1082599,0,Rising Pune Supergiant,field,N
1082600,0,Mumbai Indians,field,N
1082601,0,Kolkata Knight Riders,field,N
1082602,0,Mumbai Indians,field,N
1082603,0,Gujarat Lions,field,N
1082604,0,Sunrisers Hyderabad,field,N
1082605,0,Delhi Daredevils,bat,N
1082606,0,Mumbai Indians,field,N
1082607,0,Royal Challengers Bangalore,field,N
1082608,0,Delhi Daredevils,bat,N
1082609,0,Kings XI Punjab,field,N
1082610,0,Gujarat Lions,field,N
1082611,0,Sunrisers Hyderabad,bat,N
1082612,0,Mumbai Indians,field,N
1082613,0,Gujarat Lions,field,N
1082614,0,Delhi Daredevils,field,N
1082615,0,Rising Pune Supergiant,field,N
1082616,0,Gujarat Lions,field,N
1082617,0,Royal Challengers Bangalore,field,N
1082618,0,Mumbai Indians,field,N
1082620,0,Kolkata Knight Riders,field,N
1082621,0,Gujarat Lions,field,N
1082622,0,Kolkata Knight Riders,field,N
1082623,0,Kings XI Punjab,field,N
1082624,0,Royal Challengers Bangalore,field,N
1082625,0,Gujarat Lions,bat,Y
1082626,0,Kings XI Punjab,field,N
1082627,0,Kolkata Knight Riders,field,N
1082628,0,Royal Challengers Bangalore,bat,N
1082629,0,Rising Pune Supergiant,field,N
1082630,0,Delhi Daredevils,field,N
1082631,0,Rising Pune Supergiant,field,N
1082632,0,Delhi Daredevils,field,N
1082633,0,Royal Challengers Bangalore,field,N
1082634,0,Sunrisers Hyderabad,field,N
1082635,0,Delhi Daredevils,field,N
1082636,0,Kolkata Knight Riders,field,N
1082637,0,Gujarat Lions,field,N
1082638,0,Mumbai Indians,bat,N
1082639,0,Kolkata Knight Riders,field,N
1082640,0,Delhi Daredevils,field,N
1082641,0,Mumbai Indians,field,N
1082642,0,Delhi Daredevils,bat,N
1082643,0,Sunrisers Hyderabad,field,N
1082644,0,Kolkata Knight Riders,field,N
1082645,0,Rising Pune Supergiant,field,N
1082646,0,Royal Challengers Bangalore,bat,N
1082647,0,Mumbai Indians,field,N
1082648,0,Kolkata Knight Riders,field,N
1082649,0,Mumbai Indians,field,N
1082650,0,Mumbai Indians,bat,N
1136561,0,Chennai Super Kings,field,N
1136562,0,Kings XI Punjab,field,N
1136563,0,Kolkata Knight Riders,field,N
1136564,0,Sunrisers Hyderabad,field,N
1136565,0,Chennai Super Kings,field,N
1136566,0,Delhi Daredevils,field,N
1136567,0,Sunrisers Hyderabad,field,N
1136568,0,Royal Challengers Bangalore,field,N
1136569,0,Delhi Daredevils,field,N
1136570,0,Sunrisers Hyderabad,field,N
1136571,0,Royal Challengers Bangalore,field,N
1136572,0,Chennai Super Kings,field,N
1136573,0,Delhi Daredevils,field,N
1136574,0,Royal Challengers Bangalore,field,N
1136575,0,Kolkata Knight Riders,field,N
1136576,0,Kings XI Punjab,bat,N
1136577,0,Rajasthan Royals,field,N
1136578,0,Kings XI Punjab,field,N
1136579,0,Royal Challengers Bangalore,field,N
1136580,0,Sunrisers Hyderabad,field,N
1136581,0,Mumbai Indians,bat,N
1136582,0,Delhi Daredevils,field,N
1136583,0,Mumbai Indians,field,N
1136584,0,Chennai Super Kings,field,N
1136585,0,Kings XI Punjab,field,N
1136586,0,Kolkata Knight Riders,field,N
1136587,0,Mumbai Indians,field,N
1136588,0,Sunrisers Hyderabad,bat,N
1136589,0,Kolkata Knight Riders,field,N
1136590,0,Delhi Daredevils,field,N
1136591,0,Mumbai Indians,field,N
1136592,0,Rajasthan Royals,field,N
1136593,0,Kolkata Knight Riders,field,N
1136594,0,Mumbai Indians,field,N
1136595,0,Chennai Super Kings,field,N
1136596,0,Delhi Daredevils,bat,N
1136597,0,Kolkata Knight Riders,field,N
1136598,0,Kings XI Punjab,field,N
1136599,0,Royal Challengers Bangalore,field,N
1136600,0,Rajasthan Royals,bat,N
1136601,0,Kolkata Knight Riders,field,N
1136602,0,Delhi Daredevils,bat,N
1136603,0,Chennai Super Kings,bat,N
1136604,0,Kings XI Punjab,field,N
1136605,0,Royal Challengers Bangalore,field,N
1136606,0,Chennai Super Kings,field,N
1136607,0,Rajasthan Royals,field,N
1136608,0,Royal Challengers Bangalore,field,N
1136609,0,Kolkata Knight Riders,field,N
1136610,0,Kings XI Punjab,field,N
1136611,0,Sunrisers Hyderabad,field,N
1136612,0,Chennai Super Kings,field,N
